chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,169359,0,0,0,0,0,2,3.2,2.7,1,Matt,3.7,42,False,,,45,169359.jpg,3.7,Targett,1.1,False,,a,2,7,11,36494,15321,30617,8465,0.8,2.4,Targett,270,0,0,2,2,0,0,0,2,0,0,0,53,22.4,13.6,2.0,3.9,242,96,200,54,265,91,270,96,6.0,,5.0,,,
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,2,7,0,9759,28,10120,57,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,457,184,447,184,411,171,462,184,,,,,,
,,184704,-1,1,-1,1,0,3,-0.2,-0.7,0,Marvelous,0.3,44,False,,,44,184704.jpg,0.5,Nakamba,0.4,False,,a,2,7,1,5200,580,17497,3207,0.1,0.2,Nakamba,13,0,0,0,0,0,0,0,1,0,0,0,4,8.4,0.6,7.0,1.7,299,129,310,151,229,122,321,141,,,,,,
,,193488,0,0,-1,1,0,3,-0.5,-1.0,0,Anwar,0.0,45,False,,,59,193488.jpg,0.0,El Ghazi,0.1,False,,a,2,7,0,2194,216,6907,1157,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,562,229,562,229,561,228,564,229,5.0,,2.0,,2.0,
,,199798,1,-1,1,-1,1,2,6.8,6.3,1,Ezri,7.3,46,False,,,46,199798.jpg,7.3,Konsa Ngoyo,5.3,False,,a,2,7,22,378154,116174,87458,36476,1.6,4.8,Konsa,270,1,0,2,2,0,0,0,0,0,0,3,79,85.6,0.3,33.0,11.9,57,18,323,121,121,26,125,37,,,,,,
,,203368,-1,1,-1,1,0,2,-0.5,-1.0,0,Frédéric,0.0,47,False,,,44,203368.jpg,0.0,Guilbert,0.1,False,,a,2,7,0,801,193,4254,701,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,416,164,400,163,360,147,421,164,,,,,,
0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,Wesley,0.0,48,False,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,213345.jpg,0.0,Moraes,0.0,False,,i,2,7,0,340,120,680,129,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,565,64,567,66,566,66,567,66,,,,,1.0,
0.0,0.0,217487,0,0,-1,1,0,4,0.0,0.0,0,Mbwana,0.0,49,False,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,217487.jpg,0.0,Samatta,0.1,False,,u,2,7,0,1495,61,7252,721,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,563,62,563,64,562,64,565,64,,,,,,
,,221239,-1,1,-1,1,0,4,-0.2,-0.7,0,Keinan,0.3,50,False,,,44,221239.jpg,1.0,Davis,11.4,False,,a,2,7,1,367112,28186,613789,126367,0.1,0.2,Davis,28,0,0,0,0,0,0,0,0,0,0,0,3,4.4,12.9,6.0,2.3,317,33,206,31,236,40,306,39,,,,,,
0.0,0.0,223349,-1,1,-1,1,0,4,0.0,0.0,0,Indiana,0.0,51,False,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,44,223349.jpg,0.0,Vassilev,1.0,False,,n,2,7,0,35993,4726,99497,12793,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,421,43,405,47,365,47,426,48,,,,,,
