h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.494232,2.25373,0.494232,2.25373,"{'att': 244, 'def': 21}","{'att': 107, 'def': 19}",5,8,0,2,0.3033,l,2022-02-26 15:00:00,0,0,1,0,-1.759498
a,1.6853,1.79548,1.6853,1.79548,"{'att': 119, 'def': 15}","{'att': 322, 'def': 18}",7,3,2,1,1.2564000000000002,w,2021-08-14 14:00:00,1,0,0,3,-0.1101799999999999
h,1.77896,0.407224,1.77896,0.407224,"{'att': 266, 'def': 21}","{'att': 388, 'def': 15}",7,6,2,0,2.5067,w,2021-08-21 16:30:00,1,0,0,3,1.371736
h,0.701622,1.54868,0.701622,0.787544,"{'att': 140, 'def': 20}","{'att': 385, 'def': 27}",9,3,0,2,0.6414,l,2021-08-28 14:00:00,0,0,1,0,-0.085922
a,0.287902,0.729786,0.287902,0.729786,"{'att': 172, 'def': 26}","{'att': 243, 'def': 24}",6,3,1,0,0.8029999999999999,w,2021-09-11 14:00:00,1,0,0,3,-0.441884
h,1.47438,1.25373,0.71321,1.25373,"{'att': 289, 'def': 21}","{'att': 186, 'def': 21}",6,12,2,1,1.5399,w,2021-09-19 13:00:00,1,0,0,3,-0.54052
a,0.649566,1.36836,0.649566,0.607196,"{'att': 254, 'def': 23}","{'att': 365, 'def': 21}",5,4,1,1,0.6482,d,2021-09-27 19:00:00,0,1,0,1,0.04237
h,1.11551,0.36431,1.11551,0.36431,"{'att': 175, 'def': 20}","{'att': 241, 'def': 8}",9,7,0,0,1.987,d,2021-10-02 16:30:00,0,1,0,1,0.7512
a,1.17572,1.16088,1.17572,1.16088,"{'att': 136, 'def': 23}","{'att': 288, 'def': 12}",15,6,0,0,1.3659,d,2021-10-16 14:00:00,0,1,0,1,0.0148400000000001
h,1.1695,3.57376,0.408335,3.57376,"{'att': 284, 'def': 29}","{'att': 333, 'def': 14}",7,10,1,4,0.1408,l,2021-10-23 16:30:00,0,0,1,0,-3.165425
