chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
100.0,100.0,116535,0,0,0,0,1,1,15.1,7.8,10,Alisson,6.3,231,False,,2022-01-02 21:00:20.996540,60,116535.jpg,4.7,Ramses Becker,7.9,a,11,14,103,715019,36416,739800,11773,1.0,17.2,Alisson,1980,0,0,12,17,1,0,0,0,0,46,8,465,441.0,0.0,0.0,44.0,50,13,698,80,698,80,237,13,,,,,,,4.681818181818182,0.7833333333333333,0.45,5,LIV,1330,1350,GKP
100.0,100.0,200720,0,0,-2,2,0,1,2.5,1.5,0,Caoimhin,0.0,242,False,,2021-10-26 17:00:11.009904,43,200720.jpg,4.0,Kelleher,0.1,a,11,14,8,13761,78,16676,402,0.0,1.9,Kelleher,180,0,0,1,2,0,0,0,0,0,6,0,52,46.2,0.0,0.0,4.6,393,32,561,56,527,45,432,32,,,,,,,4.0,0.9302325581395348,0.4651162790697674,5,LIV,1330,1350,GKP
,,443629,0,0,0,0,0,1,2.5,1.5,0,Marcelo,0.0,656,False,,,40,443629.jpg,0.0,de Araújo Pitaluga Filho,0.0,a,11,14,0,689,19,502,48,0.0,0.0,Pitaluga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,537,63,524,41,485,29,541,63,,,,,,,,0.0,-0.5,5,LIV,1330,1350,GKP
100.0,100.0,121160,0,0,1,-1,0,1,5.5,6.5,7,Ederson,5.0,257,True,,2021-10-13 23:00:12.931847,61,121160.jpg,4.5,Santana de Moraes,12.0,a,12,43,109,966614,13717,829893,33426,0.8,17.9,Ederson,2160,0,0,14,14,0,0,0,2,0,42,4,479,374.0,0.0,0.0,37.5,82,16,700,81,700,81,257,16,,,,,,,4.541666666666667,0.7377049180327869,0.4098360655737705,5,MCI,1350,1370,GKP
100.0,100.0,164484,0,0,-1,1,0,1,0.5,1.5,0,Zack,0.0,260,False,,2021-09-06 08:30:10.313702,44,164484.jpg,7.0,Steffen,0.2,a,12,43,7,16101,57,25873,148,0.0,1.6,Steffen,90,0,0,1,0,0,0,0,0,0,2,1,29,23.0,0.0,0.0,2.3,424,34,568,61,539,51,454,34,,,,,,,7.0,1.5909090909090908,1.1363636363636362,5,MCI,1350,1370,GKP
,,17601,0,0,-1,1,0,1,0.5,1.5,0,Scott,0.0,593,False,,,39,17601.jpg,0.0,Carson,1.6,a,12,43,0,275459,1989,167907,3936,0.0,0.0,Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,491,40,474,14,433,2,495,40,,,,,,,,0.0,-0.5128205128205129,5,MCI,1350,1370,GKP
,,434044,0,0,0,0,0,1,0.5,1.5,0,Cieran,0.0,615,False,,,40,434044.jpg,0.0,Slicker,0.0,a,12,43,0,1315,27,1020,26,0.0,0.0,Slicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,62,521,40,481,28,538,62,,,,,,,,0.0,-0.5,5,MCI,1350,1370,GKP
,,51940,0,0,3,-3,2,1,5.0,10.0,10,David,4.5,270,False,,,53,51940.jpg,4.1,de Gea,14.1,a,13,1,102,1791541,11681,903578,110190,0.8,19.2,de Gea,2250,0,0,6,32,0,2,0,0,0,91,7,473,703.6,0.3,0.0,70.1,2,1,465,11,681,76,142,1,,,,,,,4.08,0.7735849056603773,0.3962264150943396,4,MUN,1210,1270,GKP
100.0,100.0,172649,0,0,-3,3,0,1,0.5,1.0,0,Dean,0.0,280,False,,2021-08-13 16:30:12.762120,47,172649.jpg,0.0,Henderson,0.4,a,13,1,0,4557,70,96103,210,0.0,0.0,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664,81,662,75,649,68,664,81,,,,,,,,0.0,-0.425531914893617,4,MUN,1210,1270,GKP
0.0,,21205,0,0,-1,1,0,1,0.0,1.0,0,Tom,0.0,509,False,Knock - Unknown return date,2022-02-18 14:30:15.233051,39,21205.jpg,0.0,Heaton,0.7,i,13,1,0,62462,1825,44538,1305,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,494,42,477,16,436,4,498,42,,,,,,,,0.0,-0.5128205128205129,4,MUN,1210,1270,GKP
100.0,100.0,59735,0,0,0,0,0,1,-0.5,0.0,0,Karl,0.0,294,False,,2021-12-28 00:00:18.827656,45,59735.jpg,2.5,Darlow,0.3,a,14,4,20,40646,237,72701,495,0.0,4.4,Darlow,720,0,0,0,15,0,0,0,1,0,24,3,110,157.0,0.0,0.0,15.8,273,25,588,66,566,58,371,24,,,,,,,2.5,0.5555555555555556,0.1111111111111111,3,NEW,1090,1070,GKP
100.0,100.0,67089,0,0,-1,1,1,1,6.2,6.7,9,Martin,6.7,295,False,,2022-01-14 10:30:18.187715,44,67089.jpg,3.6,Dubravka,0.9,a,14,4,40,115356,10377,59183,3372,1.5,9.1,Dubravka,990,0,0,3,17,0,0,0,0,0,33,5,202,268.2,0.0,0.0,26.8,167,20,566,59,535,49,317,21,,,,,,,3.6363636363636367,0.8181818181818181,0.3636363636363636,3,NEW,1090,1070,GKP
0.0,0.0,155503,0,0,-2,2,0,1,0.0,0.0,0,Freddie,0.0,513,False,Joined Bournemouth on loan until the end of the season - Expected back 01 Jul,2022-01-31 15:30:11.826652,43,155503.jpg,2.2,Woodman,0.3,u,14,4,9,50848,0,63310,487,0.0,2.1,Woodman,360,0,0,0,12,0,1,0,0,0,10,0,64,89.4,0.0,0.0,9.0,346,28,558,54,524,43,402,29,,,,,,,2.25,0.5116279069767442,0.0465116279069767,3,NEW,1090,1070,GKP
,,81441,0,0,-1,1,0,1,-0.5,0.0,0,Mark,0.0,514,False,,,39,81441.jpg,0.0,Gillespie,0.3,a,14,4,0,30706,1506,27384,508,0.0,0.0,Gillespie,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,497,43,481,18,440,6,501,43,,,,,,,,0.0,-0.5128205128205129,3,NEW,1090,1070,GKP
