player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength,event_name,difficulty
351,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.2,16.5,0.0,2.5,54.0,-7176.0,206350.0,18958.0,26134.0,1.0,1.0,15,,,,SHU,DEF,3,George Baldock,FUL,2,,
352,46,8,5.0,True,2020-10-18 11:00:00,5.0,71.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.6,1.3,2.0,1.6,44.0,1658.0,13426.0,3477.0,1819.0,1.0,1.0,15,,,,SHU,DEF,3,Jack Robinson,FUL,2,,
353,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.9,2.0,2.0,49.0,-78423.0,334285.0,2038.0,80461.0,1.0,1.0,15,,,,SHU,DEF,3,John Egan,FUL,2,,
354,46,8,0.0,True,2020-10-18 11:00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-6581.0,19237.0,30.0,6611.0,1.0,1.0,15,,,,SHU,DEF,3,Jack O'Connell,FUL,2,,
355,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.4,12.3,7.0,2.9,53.0,-90653.0,367194.0,3611.0,94264.0,1.0,1.0,15,3.0,,4.0,SHU,MID,3,John Lundstram,FUL,2,,
356,46,8,0.0,True,2020-10-18 11:00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-109.0,2365.0,140.0,249.0,1.0,1.0,15,4.0,,,SHU,MID,3,Ben Osborn,FUL,2,,
357,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.6,13.6,48.0,8.0,58.0,-4152.0,23384.0,1004.0,5156.0,1.0,1.0,15,,,,SHU,FWD,3,Oliver McBurnie,FUL,2,,
358,61,8,1.0,False,2020-11-02 17:30:00,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,38.0,3.7,55.0,-2568.0,57067.0,7723.0,10291.0,0.0,2.0,18,,,,WBA,FWD,2,Callum Robinson,FUL,2,,
360,46,8,2.0,True,2020-10-18 11:00:00,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.2,13.4,11.0,3.6,50.0,-691.0,10886.0,1028.0,1719.0,1.0,1.0,15,,,3.0,SHU,MID,3,Sander Berge,FUL,2,,
407,61,8,0.0,False,2020-11-02 17:30:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-990.0,19342.0,393.0,1383.0,0.0,2.0,18,,,,WBA,DEF,2,Kieran Gibbs,FUL,2,,
408,61,8,0.0,False,2020-11-02 17:30:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,-1336.0,8745.0,41.0,1377.0,0.0,2.0,18,,,2.0,WBA,FWD,2,Hal Robson-Kanu,FUL,2,,
409,61,8,1.0,False,2020-11-02 17:30:00,7.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.8,14.7,2.0,2.8,48.0,-364.0,7397.0,460.0,824.0,0.0,2.0,18,,,,WBA,MID,2,Jake Livermore,FUL,2,,
