player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
91,36,14,2.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,0,0,0,0,2,1.2,1.1,33.0,3.5,6.5,-20647,138067,9361,30008,1,3,4,0.0,0.0,1.0,BUR,FWD,2,Chris Wood,NEW,3
92,36,14,0.0,False,2020-10-03 19:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-1568,9176,85,1653,1,3,4,0.0,0.0,0.0,BUR,DEF,2,Matthew Lowton,NEW,3
93,36,14,1.0,False,2020-10-03 19:00:00,4,13,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,2.0,0.2,5.0,2386,61472,14835,12449,1,3,4,0.0,0.0,0.0,BUR,FWD,2,Matej Vydra,NEW,3
95,36,14,0.0,False,2020-10-03 19:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,-805,3161,33,838,1,3,4,0.0,0.0,0.0,BUR,MID,2,Robbie Brady,NEW,3
96,36,14,1.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,0,0,2,0,9,8.2,0.0,0.0,0.8,5.5,-68364,960710,11967,80331,1,3,4,0.0,0.0,0.0,BUR,GKP,2,Nick Pope,NEW,3
97,36,14,1.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,0,0,0,0,11,6.0,3.3,0.0,0.9,4.5,-14700,314039,13697,28397,1,3,4,0.0,0.0,0.0,BUR,DEF,2,Charlie Taylor,NEW,3
98,36,14,2.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,0,0,0,0,10,9.6,15.8,6.0,3.1,5.0,108,3499,524,416,1,3,4,0.0,1.0,0.0,BUR,MID,2,Josh Brownhill,NEW,3
100,36,14,1.0,False,2020-10-03 19:00:00,4,90,0,0,0,3,0,0,0,1,0,0,0,10,9.8,36.1,4.0,5.0,6.0,-4439,50828,2731,7170,1,3,4,2.0,2.0,0.0,BUR,MID,2,Dwight McNeil,NEW,3
148,76,14,6.0,True,2020-11-06 20:00:00,8,87,0,1,1,0,0,0,0,0,0,0,0,12,19.4,17.7,27.0,6.4,5.8,2775,17696,3854,1079,2,0,16,0.0,0.0,0.0,SOU,MID,3,Theo Walcott,NEW,3
149,65,14,2.0,False,2020-11-01 14:00:00,7,90,0,0,0,2,0,0,0,0,0,0,0,14,12.4,14.8,1.0,2.8,4.9,-28,3665,205,233,1,2,7,0.0,0.0,0.0,EVE,MID,3,Fabian Delph,NEW,3
150,65,14,2.0,False,2020-11-01 14:00:00,7,90,0,0,0,2,0,0,0,0,0,0,0,6,12.8,32.0,49.0,9.4,6.8,-1747,69410,1695,3442,1,2,7,0.0,0.0,1.0,EVE,MID,3,Gylfi Sigurdsson,NEW,3
152,65,14,0.0,False,2020-11-01 14:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,-36845,80387,96,36941,1,2,7,0.0,0.0,0.0,EVE,DEF,3,Seamus Coleman,NEW,3
153,65,14,1.0,False,2020-11-01 14:00:00,7,21,0,0,0,1,0,0,0,0,0,0,0,4,2.2,10.5,2.0,1.5,6.0,-8,552,38,46,1,2,7,0.0,0.0,0.0,EVE,FWD,3,Cenk Tosun,NEW,3
154,65,14,1.0,False,2020-11-01 14:00:00,7,30,0,0,0,1,0,0,0,0,0,0,0,6,7.6,13.8,0.0,2.1,5.8,-296,8380,296,592,1,2,7,0.0,0.0,0.0,EVE,MID,3,Bernard Anício Caldeira Duarte,NEW,3
155,65,14,0.0,False,2020-11-01 14:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.2,-434149,902771,26260,460409,1,2,7,2.0,2.0,0.0,EVE,DEF,3,Lucas Digne,NEW,3
156,65,14,1.0,False,2020-11-01 14:00:00,7,90,0,0,0,2,0,0,0,0,0,0,0,13,20.8,1.2,8.0,3.0,5.1,21131,457550,37022,15891,1,2,7,0.0,0.0,0.0,EVE,DEF,3,Michael Keane,NEW,3
157,65,14,0.0,False,2020-11-01 14:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,-27043,595560,8780,35823,1,2,7,0.0,0.0,0.0,EVE,GKP,3,Jordan Pickford,NEW,3
158,65,14,1.0,False,2020-11-01 14:00:00,7,59,0,0,0,1,0,0,0,0,0,0,0,2,0.0,12.5,0.0,0.8,5.5,-1111,23587,1029,2140,1,2,7,0.0,0.0,0.0,EVE,MID,3,André Filipe Tavares Gomes,NEW,3
