fixture_id,round,kickoff_time,event_name,home_game,difficulty,player_id,opponent_team_id,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
366,37.0,2021-05-15 14:00:00,Gameweek 37,True,2,148,10,16,,,,SOU,MID,3,Theo Walcott,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,149,10,7,,,,EVE,MID,3,Fabian Delph,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,149,10,7,,,,EVE,MID,3,Fabian Delph,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,150,10,7,3.0,3.0,1.0,EVE,MID,3,Gylfi Sigurdsson,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,150,10,7,3.0,3.0,1.0,EVE,MID,3,Gylfi Sigurdsson,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,152,10,7,,,,EVE,DEF,3,Seamus Coleman,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,152,10,7,,,,EVE,DEF,3,Seamus Coleman,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,153,10,7,,,,EVE,FWD,3,Cenk Tosun,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,153,10,7,,,,EVE,FWD,3,Cenk Tosun,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,154,10,7,4.0,4.0,,EVE,MID,3,Bernard Anício Caldeira Duarte,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,154,10,7,4.0,4.0,,EVE,MID,3,Bernard Anício Caldeira Duarte,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,155,10,7,2.0,2.0,,EVE,DEF,3,Lucas Digne,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,155,10,7,2.0,2.0,,EVE,DEF,3,Lucas Digne,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,156,10,7,,,,EVE,DEF,3,Michael Keane,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,156,10,7,,,,EVE,DEF,3,Michael Keane,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,157,10,7,,,,EVE,GKP,3,Jordan Pickford,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,157,10,7,,,,EVE,GKP,3,Jordan Pickford,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,158,10,7,,,,EVE,MID,3,André Filipe Tavares Gomes,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,158,10,7,,,,EVE,MID,3,André Filipe Tavares Gomes,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,159,10,7,,,,EVE,MID,3,Alex Iwobi,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,159,10,7,,,,EVE,MID,3,Alex Iwobi,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,160,10,7,,,,EVE,DEF,3,Jonjoe Kenny,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,160,10,7,,,,EVE,DEF,3,Jonjoe Kenny,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,162,10,7,,,,EVE,DEF,3,Yerry Mina,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,162,10,7,,,,EVE,DEF,3,Yerry Mina,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,163,10,7,,,,EVE,MID,3,Tom Davies,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,163,10,7,,,,EVE,MID,3,Tom Davies,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,164,10,7,,,,EVE,FWD,3,Dominic Calvert-Lewin,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,164,10,7,,,,EVE,FWD,3,Dominic Calvert-Lewin,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,165,10,7,,,,EVE,DEF,3,Mason Holgate,LEE,3
212,22.0,2021-02-02 19:45:00,Gameweek 22,False,3,165,10,7,,,,EVE,DEF,3,Mason Holgate,LEE,3
93,10.0,2020-11-28 17:30:00,Gameweek 10,True,2,166,10,7,,,2.0,EVE,FWD,3,Richarlison de Andrade,LEE,3
