id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6482,Eddie Nketiah,7,115,1,0.6309009306132793,0,0,2,0,0,0,F S,Arsenal,1,0.6309009306132793,0.6773496381938457,0.046448688954114914
6521,Yerry Mina,7,630,1,0.5750916507095098,0,0,3,0,1,0,D,Everton,1,0.5750916507095098,1.8737111240625381,1.8612570315599442
6651,Grady Diangana,7,574,1,0.5260527692735195,0,0.09041122905910015,9,4,0,0,M,West Bromwich Albion,1,0.5260527692735195,0.8387507349252701,0.4740029647946358
6674,Rayan Ait Nouri,1,90,1,0.07777535915374756,0,0,2,0,0,0,M,Wolverhampton Wanderers,1,0.07777535915374756,0.31616920232772827,0.27014434337615967
6818,James Maddison,6,194,1,0.19110802561044693,0,0.16658084839582443,6,3,1,0,M S,Leicester,1,0.19110802561044693,0.9313508607447147,0.8237912878394127
6835,Tom Cairney,7,630,1,0.33576859813183546,0,0.5067173801362514,8,15,2,0,M,Fulham,1,0.33576859813183546,2.6722279638051987,2.3459609150886536
6892,Fabián Balbuena,6,540,1,0.22444050759077072,0,0,4,0,1,0,D,West Ham,1,0.22444050759077072,0.2946092188358307,0.2946092188358307
6893,Stuart Armstrong,6,518,1,0.5555326715111732,2,0.43357652239501476,9,7,0,0,M,Southampton,1,0.5555326715111732,1.4595085382461548,0.7217783704400063
7063,Bernard,3,162,1,0.07622557133436203,0,0.26667107455432415,2,5,1,0,F S,Everton,1,0.07622557133436203,0.5870660543441772,0.2924884334206581
7153,Matheus Pereira,7,582,1,0.5004951637238264,2,0.4923120941966772,12,10,0,0,M,West Bromwich Albion,1,0.5004951637238264,0.795204883441329,0.3410555347800255
7322,Bukayo Saka,5,425,1,1.3094350099563599,0,0.22400562185794115,12,3,0,0,F M,Arsenal,1,1.3094350099563599,2.4650187753140926,1.1682297177612782
7390,Karlan Grant,3,250,1,0.21270731836557388,0,0.14918647333979607,4,2,0,0,F,West Bromwich Albion,1,0.21270731836557388,0.2850082814693451,0.09901395440101624
7698,Leandro Trossard,7,597,1,1.3300457913428545,1,1.6230096332728863,16,12,1,0,F M,Brighton,1,1.3300457913428545,2.696824036538601,1.102305632084608
7701,Moussa Djenepo,5,310,1,0.2505314350128174,0,0.11713394522666931,5,1,1,0,M S,Southampton,1,0.2505314350128174,1.3689018413424492,1.020827330648899
7712,Billy Sharp,4,124,1,1.4454707354307175,0,0,3,0,0,0,F S,Sheffield United,0,0.6843018978834152,0.7390252500772476,0.0547233521938324
7721,Conor Hourihane,2,147,1,0.4241124987602234,1,0.9191879034042358,3,5,0,0,M,Aston Villa,1,0.4241124987602234,0.5333448797464371,0.05572666600346565
