fixture_id,fixture_code,home_team_id,team_h_score,away_team_id,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id,opponent_team_id,team_id
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,46,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,46,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,47,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,47,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,47,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,47,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,47,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,48,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,48,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,48,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,48,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,48,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,49,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,49,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,49,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,49,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,49,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,50,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,50,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,50,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,50,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,50,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,51,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,51,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,51,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,51,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,51,5,2
340,2128627,2,,13,,35,False,0,False,2021-05-09 13:05:00,Gameweek 35,True,4,52,13,2
180,2128467,2,,7,,35,False,0,False,2021-05-13 17:00:00,Gameweek 35,True,4,52,7,2
355,2128642,6,,2,,36,False,0,False,2021-05-16 11:00:00,Gameweek 36,False,3,52,6,2
367,2128654,17,,2,,37,False,0,False,2021-05-19 17:00:00,Gameweek 37,False,4,52,17,2
370,2128657,2,,5,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,True,4,52,5,2
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,53,20,3
349,2128636,3,,19,,36,False,0,False,2021-05-15 19:00:00,Gameweek 36,True,4,53,19,3
359,2128646,3,,12,,37,False,0,False,2021-05-18 18:00:00,Gameweek 37,True,4,53,12,3
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,4,53,1,3
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,54,20,3
349,2128636,3,,19,,36,False,0,False,2021-05-15 19:00:00,Gameweek 36,True,4,54,19,3
359,2128646,3,,12,,37,False,0,False,2021-05-18 18:00:00,Gameweek 37,True,4,54,12,3
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,4,54,1,3
341,2128628,8,,4,,35,False,0,False,2021-05-10 19:00:00,Gameweek 35,False,2,55,8,4
350,2128637,4,,10,,36,False,0,False,2021-05-15 11:30:00,Gameweek 36,True,3,55,10,4
360,2128647,4,,11,,37,False,0,False,2021-05-19 19:15:00,Gameweek 37,True,4,55,11,4
376,2128663,15,,4,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,2,55,15,4
339,2128626,1,,18,,35,False,0,False,2021-05-09 18:00:00,Gameweek 35,False,4,56,1,18
353,2128640,18,,11,,36,False,0,False,2021-05-16 15:30:00,Gameweek 36,True,4,56,11,18
368,2128655,18,,19,,37,False,0,False,2021-05-19 19:15:00,Gameweek 37,True,4,56,19,18
372,2128659,10,,18,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,3,56,10,18
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,57,20,3
349,2128636,3,,19,,36,False,0,False,2021-05-15 19:00:00,Gameweek 36,True,4,57,19,3
359,2128646,3,,12,,37,False,0,False,2021-05-18 18:00:00,Gameweek 37,True,4,57,12,3
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,4,57,1,3
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,58,20,3
349,2128636,3,,19,,36,False,0,False,2021-05-15 19:00:00,Gameweek 36,True,4,58,19,3
359,2128646,3,,12,,37,False,0,False,2021-05-18 18:00:00,Gameweek 37,True,4,58,12,3
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,4,58,1,3
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,59,20,3
349,2128636,3,,19,,36,False,0,False,2021-05-15 19:00:00,Gameweek 36,True,4,59,19,3
359,2128646,3,,12,,37,False,0,False,2021-05-18 18:00:00,Gameweek 37,True,4,59,12,3
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,4,59,1,3
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,60,20,3
349,2128636,3,,19,,36,False,0,False,2021-05-15 19:00:00,Gameweek 36,True,4,60,19,3
359,2128646,3,,12,,37,False,0,False,2021-05-18 18:00:00,Gameweek 37,True,4,60,12,3
369,2128656,1,,3,,38,False,0,False,2021-05-23 15:00:00,Gameweek 38,False,4,60,1,3
348,2128635,20,,3,,35,False,0,False,2021-05-09 11:00:00,Gameweek 35,False,3,61,20,3
