player_id,fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
478,9,19,2,True,2020-09-19 19:00:00,2,1,2,63,0,0,0,1,0,0,0,0,0,0,0,11,6.4,20.9,4.0,3.1,81,407231,1119588,474433,67202
479,1,6,0,False,2020-09-12 14:00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,22240,0,0
479,17,17,0,True,2020-09-20 11:00:00,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4712,18707,336,5048
480,6,19,1,False,2020-09-12 19:00:00,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.1,50,0,7807,0,0
480,16,3,0,True,2020-09-20 13:00:00,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1099,7922,311,1410
481,5,9,2,True,2020-09-13 13:00:00,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,9,8.6,14.7,26.0,4.9,60,0,182852,0,0
481,12,7,10,False,2020-09-19 11:30:00,5,2,2,70,1,1,0,5,0,0,0,0,0,0,0,33,55.0,12.0,11.0,7.8,60,-36160,150712,4945,41105
482,4,7,0,True,2020-09-13 15:30:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,55692,0,0
482,17,16,0,False,2020-09-20 11:00:00,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4319,61004,1549,5868
483,8,20,1,True,2020-09-14 17:00:00,0,2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,50,0,462939,0,0
483,10,2,2,False,2020-09-21 17:00:00,1,0,2,90,0,0,0,1,0,0,0,0,0,1,0,10,11.2,0.0,0.0,1.1,50,-41600,440147,15075,56675
484,2,1,0,True,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,7957,0,0
484,13,10,0,False,2020-09-19 14:00:00,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1327,7841,122,1449
485,6,19,14,False,2020-09-12 19:00:00,0,2,1,90,1,1,1,0,0,0,0,0,0,0,3,41,67.0,13.4,23.0,10.3,50,0,6679,0,0
485,16,3,2,True,2020-09-20 13:00:00,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,4,0.0,1.9,1.0,0.1,50,181855,291284,227467,45612
486,1,16,7,True,2020-09-12 14:00:00,1,0,1,90,0,0,1,0,0,0,0,0,0,0,1,24,15.6,0.4,8.0,2.4,45,0,18959,0,0
486,15,13,0,False,2020-09-19 16:30:00,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,23357,83312,34970,11613
487,6,19,0,False,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3122,0,0
487,16,3,0,True,2020-09-20 13:00:00,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1054,2085,27,1081
488,6,19,0,False,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,5313,0,0
488,16,3,0,True,2020-09-20 13:00:00,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-468,6402,216,684
489,1,16,1,True,2020-09-12 14:00:00,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,4.4,8.8,4.0,1.7,60,0,33257,0,0
489,15,13,1,False,2020-09-19 16:30:00,1,3,2,15,0,0,0,1,0,0,0,0,0,0,0,4,9.4,0.8,2.0,1.2,60,-781,38313,5582,6363
490,7,3,0,False,2020-09-14 19:15:00,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,179186,0,0
490,11,11,0,True,2020-09-20 15:30:00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-49718,140573,4131,53849
491,3,11,0,False,2020-09-12 16:30:00,4,3,1,90,0,0,0,4,0,0,0,0,0,0,0,14,23.4,0.2,18.0,4.2,45,0,33230,0,0
491,13,8,1,True,2020-09-19 14:00:00,4,3,2,90,0,0,0,3,0,0,0,0,0,0,0,9,12.4,0.3,21.0,3.4,45,356,40440,5015,4659
492,3,11,1,False,2020-09-12 16:30:00,4,3,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,60,0,462199,0,0
492,13,8,1,True,2020-09-19 14:00:00,4,3,2,45,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.7,4.0,0.5,60,-46428,473291,50826,97254
493,2,1,0,True,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,76220,0,0
493,13,10,1,False,2020-09-19 14:00:00,4,3,2,20,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0.1,0.0,0.3,45,-10269,69670,3063,13332
494,2,8,15,False,2020-09-12 11:30:00,0,3,1,90,1,0,1,0,0,0,0,0,0,0,3,37,51.8,0.3,33.0,8.5,50,0,85593,0,0
494,9,19,2,True,2020-09-19 19:00:00,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,15,32.6,0.7,2.0,3.5,50,363239,705990,412630,49391
495,15,6,6,True,2020-09-19 16:30:00,1,3,2,23,1,0,0,2,0,0,0,0,0,0,0,19,36.2,3.3,23.0,6.3,70,23767,247988,51212,27445
496,10,15,5,True,2020-09-21 17:00:00,1,0,2,90,0,0,1,0,0,0,0,1,0,0,0,27,19.0,33.9,16.0,6.9,50,686,25413,3758,3072
497,6,19,0,False,2020-09-12 19:00:00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2064,0,0
497,16,3,0,True,2020-09-20 13:00:00,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-372,2435,134,506
498,5,18,14,False,2020-09-13 13:00:00,0,3,1,90,1,0,1,0,0,0,0,0,0,0,2,38,45.8,3.0,35.0,8.4,55,0,67356,0,0
