chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,21205,0,0,0,0,0,1,0.0,0.0,0,0.0,28,False,Knee injury - Unknown return date,2020-08-15 10:00:11.430596,45,21205.jpg,0.0,0.0,i,2,7,0,15,72,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,474,54,457,34,428,32,479,54,,,,,,,,0.0,-0.4444444444444444
,,37339,0,0,-1,1,0,2,0.2,0.2,0,0.2,29,False,,,44,37339.jpg,1.0,0.3,a,2,7,1,168,614,0.0,0.2,El Mohamady,10,0,0,0,0,0,0,0,0,0,0,0,4,3.6,11.1,2.0,1.7,362,135,269,85,306,105,359,130,,,,,,,9.0,0.22727272727272727,-0.22727272727272727
0.0,0.0,40564,0,0,-1,1,0,3,0.0,0.0,0,0.0,30,False,Not included in Aston Villa's 25-man Premier League squad. - Unknown return date,2020-10-20 22:30:18.217167,44,40564.jpg,0.0,0.2,n,2,7,0,32,653,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,436,176,417,176,385,162,441,176,,,,,,,,0.0,-0.45454545454545453
,,47390,0,0,-1,1,0,2,0.0,0.0,0,0.0,31,False,,,44,47390.jpg,0.0,0.2,a,2,7,0,118,435,0.0,0.0,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,439,171,420,170,388,153,444,171,,,,,,,,0.0,-0.45454545454545453
,,79852,0,0,0,0,0,1,0.0,0.0,0,0.0,32,False,,,40,79852.jpg,0.0,5.6,a,2,7,0,3035,2805,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,397,31,378,10,339,8,401,31,,,,,,,,0.0,-0.5
,,85242,0,0,0,0,1,3,3.5,3.5,0,3.5,33,False,,,60,85242.jpg,8.5,0.2,a,2,7,17,102,1026,0.6,2.8,Hourihane,137,1,1,2,0,0,0,0,0,0,0,3,57,62.2,77.7,23.0,16.3,168,67,63,46,195,102,123,67,1.0,,1.0,,,,11.167883211678832,1.4166666666666667,1.0833333333333333
0.0,0.0,89274,0,0,-1,1,0,3,0.0,0.0,0,0.0,34,False,Contract ended,2020-10-05 07:17:10.828418,59,89274.jpg,0.0,0.1,u,2,7,0,4,175,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,576,232,575,231,576,231,579,232,,,,,,,,0.0,-0.3389830508474576
0.0,0.0,98770,0,0,0,0,0,1,0.0,0.0,0,0.0,35,False,Contract terminated on 5/10,2020-10-05 21:00:11.316167,40,98770.jpg,0.0,10.0,u,2,7,0,121,14389,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,399,32,380,11,341,9,403,32,,,,,,,,0.0,-0.5
100.0,100.0,108156,0,0,-1,1,0,2,0.0,0.0,0,0.0,36,False,,2020-09-18 10:00:08.441455,44,108156.jpg,0.0,0.1,a,2,7,0,25,63,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,452,176,433,175,402,159,457,176,,,,,,,,0.0,-0.45454545454545453
,,114283,0,0,2,-2,1,3,9.0,9.0,1,9.0,37,False,,,72,114283.jpg,7.8,27.8,a,2,7,39,66572,44413,1.2,5.4,Grealish,450,3,3,3,5,0,0,0,1,0,0,3,139,206.8,187.0,237.0,63.0,11,6,8,6,12,4,6,5,3.0,,7.0,,3.0,,7.800000000000001,1.0833333333333333,0.8055555555555555
