fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,gameweek_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_id,opponent_strength,opponent_team_name,player_id,web_name,position_id,player_price
9,12,0,False,2019-08-11 15:30:00,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1685,0,0,12,4,MUN,121,Ampadu,3,4.3
6,2,2,True,2019-08-10 16:30:00,3,1,1,63,0,0,0,1,0,0,0,0,0,0,0,14,10.8,29.6,1.0,4.1,55,0,20098,0,0,2,2,AVL,347,Winks,3,5.2
3,16,0,True,2019-08-10 14:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,136850,0,0,16,3,SOU,120,Drinkwater,3,4.4
8,11,0,True,2019-08-10 11:30:00,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,18181,0,0,11,5,MCI,450,Roberto,1,4.4
9,12,0,False,2019-08-11 15:30:00,4,0,1,17,0,0,0,1,0,0,0,1,0,0,0,-1,7.2,0.9,0.0,0.8,50,0,396047,0,0,12,4,MUN,119,Kanté,3,5.0
9,12,1,False,2019-08-11 15:30:00,4,0,1,72,0,0,0,3,0,0,0,1,0,0,0,10,6.2,4.3,8.0,1.9,50,0,220477,0,0,12,4,MUN,118,Jorginho,3,4.9
4,7,0,False,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,128875,0,0,7,3,CRY,17,Iwobi,3,5.6
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3818,0,0,2,2,AVL,348,Wanyama,3,4.7
2,15,2,True,2019-08-10 14:00:00,1,1,1,90,0,0,0,1,0,0,0,0,0,2,0,11,9.8,0.0,0.0,1.0,45,0,3091,0,0,15,3,SHU,494,Ramsdale,1,4.4
9,12,0,False,2019-08-11 15:30:00,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,8,23.2,19.7,47.0,9.0,55,0,45795,0,0,12,4,MUN,107,Emerson,2,5.4
4,7,0,False,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,7810,0,0,7,3,CRY,145,Baines,2,4.9
