h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.253685,0.758626,0.253685,0.758626,"{'att': 407, 'def': 13}","{'att': 265, 'def': 26}",4,5,1,1,0.7813000000000001,d,2020-10-25 16:30:00,0,1,0,1,-0.5049410000000001
h,2.6311,1.21805,1.8699299999999999,1.21805,"{'att': 411, 'def': 12}","{'att': 211, 'def': 24}",5,8,2,1,2.4522,w,2020-11-01 14:00:00,1,0,0,3,0.65188
a,0.17563299999999998,0.985828,0.17563299999999998,0.985828,"{'att': 335, 'def': 20}","{'att': 199, 'def': 35}",0,4,0,2,0.5419,l,2020-11-06 20:00:00,0,0,1,0,-0.810195
h,0.9493159999999999,1.61307,0.9493159999999999,1.61307,"{'att': 247, 'def': 30}","{'att': 188, 'def': 6}",10,3,0,2,0.7955000000000001,l,2020-09-14 17:00:00,0,0,1,0,-0.663754
a,0.849709,0.8052699999999999,0.0885404,0.8052699999999999,"{'att': 247, 'def': 14}","{'att': 89, 'def': 20}",2,17,0,1,1.4646,l,2020-09-21 17:00:00,0,0,1,0,-0.7167296000000001
h,1.53278,1.46641,1.53278,1.46641,"{'att': 335, 'def': 29}","{'att': 152, 'def': 17}",11,2,0,1,1.4471999999999998,l,2020-09-27 11:00:00,0,0,1,0,0.06637000000000004
a,0.144994,0.667131,0.144994,0.667131,"{'att': 445, 'def': 23}","{'att': 167, 'def': 12}",3,4,1,2,0.6579999999999999,l,2020-10-04 13:00:00,0,0,1,0,-0.5221370000000001
h,1.66363,1.35611,0.9024639999999999,0.594945,"{'att': 349, 'def': 23}","{'att': 216, 'def': 17}",1,1,1,1,1.6344,d,2020-10-18 11:00:00,0,1,0,1,0.3075190000000001
a,1.39788,2.40286,0.636707,2.40286,"{'att': 393, 'def': 20}","{'att': 170, 'def': 12}",8,7,1,2,0.6184,l,2020-10-24 19:00:00,0,0,1,0,-1.7661529999999999
h,0.6875439999999999,1.8964299999999998,0.6875439999999999,1.8964299999999998,"{'att': 449, 'def': 24}","{'att': 188, 'def': 12}",3,9,0,1,0.4224,l,2020-10-31 12:30:00,0,0,1,0,-1.208886
a,0.743967,2.87622,0.743967,2.87622,"{'att': 470, 'def': 16}","{'att': 145, 'def': 10}",5,14,1,4,0.1844,l,2020-11-07 17:30:00,0,0,1,0,-2.132253
a,1.2626700000000002,1.3956899999999999,1.2626700000000002,1.3956899999999999,"{'att': 83, 'def': 23}","{'att': 312, 'def': 18}",14,1,0,1,1.2208,l,2020-09-12 14:00:00,0,0,1,0,-0.13302000000000014
h,2.2770799999999998,2.28004,1.51591,2.28004,"{'att': 234, 'def': 27}","{'att': 248, 'def': 23}",4,3,2,5,1.3364,l,2020-09-20 11:00:00,0,0,1,0,-0.76413
a,0.7066319999999999,0.347136,0.7066319999999999,0.347136,"{'att': 275, 'def': 20}","{'att': 230, 'def': 28}",6,9,1,0,1.71,w,2020-09-26 19:00:00,1,0,0,3,0.35949600000000004
h,0.9490790000000001,0.16128299999999998,0.9490790000000001,0.16128299999999998,"{'att': 163, 'def': 32}","{'att': 301, 'def': 19}",6,1,2,0,2.1162,w,2020-10-04 11:00:00,1,0,0,3,0.7877959999999999
a,1.4234799999999999,1.98708,1.4234799999999999,1.98708,"{'att': 336, 'def': 23}","{'att': 251, 'def': 23}",5,11,3,3,0.8833,d,2020-10-17 14:00:00,0,1,0,1,-0.5635999999999999
h,0.74151,0.287054,0.74151,0.287054,"{'att': 333, 'def': 24}","{'att': 409, 'def': 35}",6,6,2,0,1.7526,w,2020-10-25 14:00:00,1,0,0,3,0.454456
a,1.0033299999999998,2.44855,1.0033299999999998,1.6873799999999999,"{'att': 164, 'def': 22}","{'att': 161, 'def': 23}",2,5,4,3,0.4426,w,2020-11-01 12:00:00,1,0,0,3,-0.68405
h,0.985828,0.17563299999999998,0.985828,0.17563299999999998,"{'att': 199, 'def': 35}","{'att': 335, 'def': 20}",4,0,2,0,2.1004,w,2020-11-06 20:00:00,1,0,0,3,0.810195
h,0.822944,1.26793,0.822944,1.26793,"{'att': 374, 'def': 33}","{'att': 309, 'def': 19}",9,5,0,1,0.9577,l,2020-09-13 15:30:00,0,0,1,0,-0.444986
a,2.28004,2.2770799999999998,2.28004,1.51591,"{'att': 248, 'def': 23}","{'att': 234, 'def': 27}",3,4,5,2,1.3870999999999998,w,2020-09-20 11:00:00,1,0,0,3,0.76413
h,3.18765,0.9427260000000001,3.18765,0.181557,"{'att': 184, 'def': 19}","{'att': 357, 'def': 10}",6,4,1,1,2.7474,d,2020-09-27 13:00:00,0,1,0,1,3.006093
a,3.3017,0.8734350000000001,2.54054,0.112267,"{'att': 227, 'def': 34}","{'att': 477, 'def': 24}",8,3,6,1,2.7894,w,2020-10-04 15:30:00,1,0,0,3,2.428273
h,1.7760200000000002,1.4999200000000001,1.7760200000000002,1.4999200000000001,"{'att': 246, 'def': 20}","{'att': 307, 'def': 17}",1,7,3,3,1.5810000000000002,d,2020-10-18 15:30:00,0,1,0,1,0.2761
a,0.7973439999999999,0.95045,0.7973439999999999,0.95045,"{'att': 176, 'def': 18}","{'att': 342, 'def': 23}",6,4,1,0,1.1995,w,2020-10-26 20:00:00,1,0,0,3,-0.15310599999999994
h,1.97236,0.324457,1.21119,0.324457,"{'att': 287, 'def': 30}","{'att': 207, 'def': 14}",3,7,2,1,2.6927,w,2020-11-01 19:15:00,1,0,0,3,0.886733
a,1.87063,0.7993520000000001,1.87063,0.7993520000000001,"{'att': 142, 'def': 19}","{'att': 263, 'def': 16}",4,6,1,0,2.2041,w,2020-11-08 12:00:00,1,0,0,3,1.0712780000000002
h,0.352997,2.95581,0.352997,1.43347,"{'att': 363, 'def': 19}","{'att': 179, 'def': 17}",6,3,0,3,0.0568,l,2020-09-13 13:00:00,0,0,1,0,-1.080473
a,0.315347,4.16254,0.315347,4.16254,"{'att': 581, 'def': 14}","{'att': 191, 'def': 21}",6,6,2,5,0.0037,l,2020-09-19 11:30:00,0,0,1,0,-3.847193
h,0.911185,2.36046,0.911185,2.36046,"{'att': 449, 'def': 11}","{'att': 113, 'def': 25}",3,12,3,3,0.4057000000000001,d,2020-09-26 16:30:00,0,1,0,1,-1.4492749999999996
a,0.16128299999999998,0.9490790000000001,0.16128299999999998,0.9490790000000001,"{'att': 301, 'def': 19}","{'att': 163, 'def': 32}",1,6,0,2,0.5202,l,2020-10-04 11:00:00,0,0,1,0,-0.7877959999999999
h,0.731692,1.08532,0.731692,1.08532,"{'att': 165, 'def': 20}","{'att': 253, 'def': 19}",3,2,0,0,0.9921,d,2020-10-19 16:30:00,0,1,0,1,-0.35362800000000005
