chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
100.0,100.0,91651,0,0,0,0,0,3,1.8,1.8,1,1.3,107,False,,2020-08-15 10:00:11.528964,55,91651.jpg,1.3,0.3,a,5,8,4,1923,4960,0.2,0.7,Kovacic,130,0,0,0,5,0,0,0,0,0,0,0,22,8.4,10.9,1.0,2.0,300,130,224,123,286,139,316,140,,,,,,,2.769230769230769,0.2363636363636364,-0.12727272727272726,4,CHE,1250,1280,MID
100.0,,116594,-1,1,-1,1,0,3,2.5,2.5,2,2.0,113,False,,2020-10-03 16:30:19.172004,49,116594.jpg,2.0,3.6,a,5,8,8,5380,52614,0.4,1.6,Kanté,352,0,0,1,6,0,0,0,1,0,0,0,64,62.8,17.7,11.0,9.2,105,39,177,107,202,104,163,80,,,,,,,2.0454545454545454,0.4081632653061224,0.0,4,CHE,1250,1280,MID
100.0,0.0,124183,0,0,-1,1,0,3,0.5,0.0,0,0.0,114,False,,2020-08-29 17:30:07.487245,79,124183.jpg,0.0,1.1,a,5,8,0,16733,10406,0.0,0.0,Ziyech,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,573,234,573,234,572,233,573,234,,,,,,,,0.0,-0.2531645569620253,4,CHE,1250,1280,MID
100.0,100.0,176413,0,0,-2,2,0,3,0.8,0.8,1,0.3,119,False,,2020-09-14 22:30:19.934227,83,176413.jpg,1.0,3.3,a,5,8,1,63738,25093,0.0,0.1,Pulisic,7,0,0,0,0,0,0,0,0,0,0,0,7,5.4,0.3,0.0,0.6,313,140,330,161,574,234,335,149,6.0,,,,,,12.857142857142856,0.12048192771084335,-0.12048192771084335,4,CHE,1250,1280,MID
,,184341,0,0,-1,1,1,3,5.2,5.2,0,4.7,120,False,,,69,184341.jpg,5.3,6.6,a,5,8,16,20416,103750,0.7,2.3,Mount,270,1,1,0,6,0,0,0,0,0,0,2,67,74.0,86.3,91.0,25.1,79,31,26,18,35,16,37,19,2.0,,1.0,,,,5.333333333333334,0.7681159420289855,0.4782608695652174,4,CHE,1250,1280,MID
,,209046,0,0,-2,2,0,3,3.5,3.5,3,3.0,122,False,,,58,209046.jpg,3.3,0.4,a,5,8,10,4724,4869,0.5,1.7,Hudson-Odoi,137,1,0,1,0,0,0,0,0,0,0,0,44,46.6,59.5,49.0,15.5,151,62,54,39,75,40,83,49,4.0,,,,,,6.569343065693429,0.5689655172413793,0.22413793103448276,4,CHE,1250,1280,MID
0.0,0.0,243568,0,0,0,0,0,3,0.0,0.0,0,0.0,124,False,Knee injury - Expected back 31 Oct,2020-08-15 10:00:11.591471,45,243568.jpg,0.0,0.1,i,5,8,0,161,960,0.0,0.0,Gilmour,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,471,184,461,185,428,166,476,184,,,,,,,,0.0,-0.4444444444444444,4,CHE,1250,1280,MID
,,219847,0,0,-1,1,0,3,4.5,4.5,6,4.0,500,False,,,84,219847.jpg,3.5,8.5,a,5,8,14,47092,86927,0.5,1.7,Havertz,304,0,2,1,4,0,0,0,0,0,0,0,50,60.2,82.9,42.0,18.5,113,42,27,19,98,52,57,34,,,,,,,4.144736842105264,0.4166666666666666,0.17857142857142858,4,CHE,1250,1280,MID
,,50471,-1,1,-1,1,0,3,1.7,1.2,2,1.7,130,False,,,54,50471.jpg,2.0,0.2,a,6,31,8,429,1318,0.3,1.5,McArthur,338,0,0,1,5,0,0,0,1,0,0,0,40,72.4,44.3,13.0,13.0,84,33,85,61,198,103,114,61,,,,,,,2.130177514792899,0.3703703703703704,0.0,3,CRY,1080,1120,MID
75.0,,50472,0,0,0,0,0,3,1.5,1.5,2,2.0,131,False,Hamstring injury - 75% chance of playing,2020-10-14 10:00:21.275991,45,50472.jpg,2.0,2.5,d,6,31,8,5773,22025,0.4,1.8,McCarthy,316,0,0,1,5,0,0,0,1,0,0,0,44,47.4,24.6,8.0,8.0,146,59,142,86,216,112,185,92,5.0,,,,,,2.278481012658228,0.4444444444444444,0.0,3,CRY,1080,1120,MID
,,55037,0,0,0,0,0,3,4.3,3.8,2,4.3,133,False,,,50,55037.jpg,4.0,0.7,a,6,31,16,6718,7984,0.9,3.2,Kouyaté,360,1,0,1,7,0,0,0,0,0,0,2,55,98.4,10.7,65.0,17.5,44,18,226,124,53,27,63,38,,,,,,,4.0,0.8,0.4,3,CRY,1080,1120,MID
,,60252,0,0,1,-1,0,3,5.3,4.8,2,5.3,137,False,,,61,60252.jpg,6.0,3.6,a,6,31,24,38581,45972,0.9,3.9,Townsend,360,1,2,1,7,0,0,0,0,0,0,4,82,108.6,122.3,42.0,27.3,31,13,11,7,96,50,32,16,3.0,,3.0,,,,6.0,0.9836065573770492,0.6557377049180328,3,CRY,1080,1120,MID
,,66975,0,0,-2,2,0,3,0.7,0.2,1,0.7,138,False,,,58,66975.jpg,1.0,0.4,a,6,31,3,521,4150,0.1,0.5,Milivojevic,41,0,0,0,2,0,0,0,0,0,0,0,16,19.8,34.0,0.0,5.3,256,105,108,72,552,222,242,113,1.0,,1.0,,1.0,,6.585365853658537,0.1724137931034483,-0.1724137931034483,3,CRY,1080,1120,MID
